feature,family,molecular_scope,region,condition_source,mathematical_definition,units,normalization,notes
K_VL_CL_q90,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VL_CL_iqr,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VL_CL_frac_neg,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VL_CL_n,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_full_median,FULL_FAB_NORMALIZED,Fab_reconstructed (VH+CH1 / VL+CL),full_Fab,C,Site-level aggregate curvature stats on full Fab (C); not raw energy sums comparable across different atom counts,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_full_mean,FULL_FAB_NORMALIZED,Fab_reconstructed (VH+CH1 / VL+CL),full_Fab,C,Site-level aggregate curvature stats on full Fab (C); not raw energy sums comparable across different atom counts,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_full_q90,FULL_FAB_NORMALIZED,Fab_reconstructed (VH+CH1 / VL+CL),full_Fab,C,Site-level aggregate curvature stats on full Fab (C); not raw energy sums comparable across different atom counts,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_full_n_sites,FULL_FAB_NORMALIZED,Fab_reconstructed (VH+CH1 / VL+CL),full_Fab,C,Site-level aggregate curvature stats on full Fab (C); not raw energy sums comparable across different atom counts,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_all_bb_mean,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_all_bb_median,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_all_bb_q90,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_all_bb_iqr,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_all_bb_frac_neg,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_FW_mean,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_FW_median,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_FW_q90,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_CDR_mean,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_CDR_median,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_CDR_q90,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_HCDR3_mean,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_HCDR3_median,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_HCDR3_q90,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_chi1_mean,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_chi1_median,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
PREP_RELAX_SENS__K_chi1_q90,PREP_RELAX_SENSITIVITY,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,M_minus_B,feat(M) − feat(B); prep/relax sensitivity control (not primary energy Δ),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
