id,seq_Y_count,seq_W_count,seq_F_count,seq_YWF_total,seq_YWF_fraction,CDR_seq_Y_count,CDR_seq_W_count,CDR_seq_F_count,CDR_seq_YWF_total,seq_polar_count,seq_polar_fraction,seq_donor_capable_count,seq_acceptor_capable_count,seq_polar_uncharged_count,seq_charged_count,CDR_seq_polar_count,CDR_seq_polar_fraction,fv_length
ADI-47056,11,6,10,27,0.11688311688311688,2,2,4,8,124,0.5367965367965368,106,100,88,36,30,0.5882352941176471,231
ADI-47057,14,6,10,30,0.12875536480686695,6,2,3,11,128,0.5493562231759657,107,102,86,42,32,0.6037735849056604,233
ADI-47058,8,5,9,22,0.09691629955947137,1,1,3,5,120,0.5286343612334802,98,96,76,44,29,0.6041666666666666,227
ADI-47059,13,5,8,26,0.11403508771929824,4,1,3,8,121,0.5307017543859649,105,100,88,33,29,0.6041666666666666,228
ADI-47062,12,6,9,27,0.11894273127753303,3,2,4,9,121,0.5330396475770925,103,96,83,38,26,0.5531914893617021,227
ADI-47067,13,4,8,25,0.10638297872340426,4,0,5,9,123,0.5234042553191489,105,102,86,37,32,0.5714285714285714,235
ADI-47070,8,6,7,21,0.08860759493670886,1,2,3,6,127,0.5358649789029536,102,100,79,48,36,0.6206896551724138,237
ADI-47071,11,6,8,25,0.1091703056768559,2,2,3,7,127,0.5545851528384279,109,105,92,35,31,0.6326530612244898,229
ADI-47077,13,4,6,23,0.09913793103448276,4,0,2,6,128,0.5517241379310345,109,109,92,36,28,0.5490196078431373,232
ADI-47082,10,4,5,19,0.0815450643776824,2,0,1,3,124,0.5321888412017167,97,100,75,49,33,0.6226415094339622,233
ADI-47083,11,6,7,24,0.10300429184549356,4,1,3,8,130,0.5579399141630901,109,104,89,41,34,0.6296296296296297,233
ADI-47084,13,5,6,24,0.10526315789473684,5,0,1,6,131,0.5745614035087719,111,108,92,39,30,0.625,228
ADI-47085,12,6,8,26,0.11403508771929824,5,1,1,7,124,0.543859649122807,109,102,92,32,31,0.6458333333333334,228
ADI-47090,11,8,8,27,0.1148936170212766,3,4,4,11,124,0.5276595744680851,102,96,82,42,36,0.6428571428571429,235
ADI-47092,11,5,8,24,0.10300429184549356,3,1,4,8,125,0.5364806866952789,103,100,80,45,33,0.6111111111111112,233
ADI-47093,13,5,9,27,0.12,4,1,2,7,119,0.5288888888888889,97,95,77,42,30,0.6666666666666666,225
ADI-47104,14,5,9,28,0.12121212121212122,7,1,4,12,128,0.5541125541125541,109,104,86,42,36,0.7058823529411765,231
ADI-47106,11,6,8,25,0.1059322033898305,2,2,4,8,126,0.5338983050847458,107,102,88,38,32,0.5614035087719298,236
ADI-47107,12,4,6,22,0.09691629955947137,3,1,1,5,126,0.5550660792951542,108,103,87,39,27,0.574468085106383,227
ADI-47109,12,5,9,26,0.11659192825112108,3,1,4,8,125,0.5605381165919282,107,101,85,40,30,0.6976744186046512,223
ADI-47112,13,6,6,25,0.1091703056768559,3,2,3,8,124,0.5414847161572053,104,98,80,44,33,0.66,229
ADI-47113,15,5,9,29,0.1277533039647577,7,1,3,11,117,0.5154185022026432,97,92,76,41,29,0.6170212765957447,227
ADI-47116,16,5,7,28,0.12017167381974249,7,1,3,11,129,0.5536480686695279,111,106,93,36,34,0.6415094339622641,233
ADI-47119,12,6,5,23,0.09787234042553192,3,2,2,7,122,0.5191489361702127,103,98,85,37,31,0.5535714285714286,235
ADI-47120,12,7,5,24,0.10256410256410256,4,3,2,9,131,0.5598290598290598,112,106,94,37,34,0.6181818181818182,234
ADI-47121,10,4,8,22,0.09565217391304348,4,0,4,8,118,0.5130434782608696,99,96,77,41,28,0.5490196078431373,230
ADI-47124,11,5,5,21,0.08974358974358974,3,1,3,7,128,0.5470085470085471,107,105,85,43,33,0.6,234
ADI-47125,12,6,9,27,0.11538461538461539,3,2,4,9,127,0.5427350427350427,107,101,86,41,37,0.6851851851851852,234
ADI-47126,12,5,7,24,0.1038961038961039,4,1,2,7,121,0.5238095238095238,102,98,82,39,26,0.5098039215686274,231
ADI-47127,13,7,9,29,0.11983471074380166,6,2,3,11,134,0.5537190082644629,115,108,95,39,36,0.5806451612903226,242
ADI-47129,15,7,10,32,0.13675213675213677,7,2,4,13,131,0.5598290598290598,113,107,94,37,37,0.6851851851851852,234
ADI-47133,13,5,7,25,0.1091703056768559,6,0,1,7,124,0.5414847161572053,106,100,87,37,28,0.5714285714285714,229
ADI-47135,14,5,9,28,0.11618257261410789,7,1,4,12,137,0.5684647302904564,113,109,87,50,39,0.65,241
ADI-47137,13,7,10,30,0.13392857142857142,5,2,2,9,121,0.5401785714285714,106,99,88,33,29,0.6590909090909091,224
ADI-47140,14,6,7,27,0.1134453781512605,7,1,2,10,132,0.5546218487394958,112,105,88,44,36,0.6,238
ADI-47143,14,6,7,27,0.1134453781512605,8,1,2,11,140,0.5882352941176471,122,115,100,40,40,0.6896551724137931,238
ADI-47148,11,4,9,24,0.1038961038961039,4,0,2,6,125,0.5411255411255411,110,105,90,35,28,0.5490196078431373,231
ADI-47152,14,8,5,27,0.11637931034482758,3,4,2,9,128,0.5517241379310345,111,104,95,33,33,0.6226415094339622,232
ADI-47160,13,7,6,26,0.11304347826086956,6,1,3,10,125,0.5434782608695652,111,106,95,30,30,0.5882352941176471,230
ADI-47161,15,5,7,27,0.11392405063291139,6,1,3,10,128,0.540084388185654,108,103,87,41,33,0.5789473684210527,237
ADI-47166,11,4,6,21,0.08823529411764706,3,0,2,5,129,0.542016806722689,111,104,90,39,37,0.6271186440677966,238
ADI-47173,9,4,10,23,0.09829059829059829,2,1,5,8,123,0.5256410256410257,102,96,73,50,30,0.5555555555555556,234
ADI-47174,12,4,8,24,0.10344827586206896,4,1,3,8,127,0.5474137931034483,106,99,78,49,32,0.6153846153846154,232
ADI-47175,14,5,9,28,0.12017167381974249,6,1,3,10,127,0.5450643776824035,107,99,84,43,39,0.7358490566037735,233
ADI-47178,9,6,9,24,0.10480349344978165,3,2,2,7,120,0.5240174672489083,103,95,82,38,32,0.6530612244897959,229
ADI-47179,9,5,9,23,0.10087719298245613,2,1,3,6,124,0.543859649122807,106,99,82,42,29,0.6041666666666666,228
ADI-47182,13,6,6,25,0.1072961373390558,4,2,2,8,129,0.5536480686695279,111,103,89,40,31,0.5849056603773585,233
ADI-47184,12,6,6,24,0.1038961038961039,4,1,2,7,128,0.5541125541125541,110,102,87,41,31,0.6078431372549019,231
ADI-47186,12,5,8,25,0.1072961373390558,3,1,6,10,125,0.5364806866952789,107,100,85,40,29,0.5370370370370371,233
ADI-47190,10,5,8,23,0.1,3,1,3,7,121,0.5260869565217391,103,95,77,44,29,0.58,230
ADI-47191,10,5,9,24,0.10212765957446808,3,1,3,7,121,0.5148936170212766,104,97,81,40,30,0.5454545454545454,235
ADI-47192,13,5,7,25,0.10416666666666667,5,1,3,9,130,0.5416666666666666,113,107,89,41,36,0.5901639344262295,240
ADI-47193,11,5,7,23,0.10176991150442478,4,0,2,6,127,0.5619469026548672,110,103,90,37,26,0.5652173913043478,226
ADI-47194,13,6,5,24,0.10619469026548672,5,1,0,6,123,0.5442477876106194,110,101,93,30,27,0.5869565217391305,226
ADI-47196,12,7,7,26,0.11016949152542373,3,3,4,10,127,0.538135593220339,112,102,93,34,35,0.6140350877192983,236
ADI-47197,12,7,7,26,0.11158798283261803,6,2,2,10,143,0.6137339055793991,122,111,95,48,40,0.7547169811320755,233
ADI-47198,14,5,10,29,0.12608695652173912,6,1,4,11,126,0.5478260869565217,110,103,89,37,28,0.56,230
ADI-47200,13,4,10,27,0.11790393013100436,5,0,3,8,125,0.5458515283842795,105,98,81,44,31,0.6326530612244898,229
ADI-47201,9,5,8,22,0.09649122807017543,3,1,4,8,114,0.5,98,91,77,37,24,0.4897959183673469,228
ADI-47202,9,5,11,25,0.10683760683760683,2,1,4,7,127,0.5427350427350427,110,102,90,37,31,0.5740740740740741,234
ADI-47203,11,7,7,25,0.1091703056768559,3,3,2,8,129,0.5633187772925764,107,98,81,48,35,0.7142857142857143,229
ADI-47205,12,6,5,23,0.09871244635193133,5,1,1,7,131,0.5622317596566524,117,108,98,33,33,0.6226415094339622,233
ADI-47206,7,5,9,21,0.09251101321585903,2,1,3,6,113,0.4977973568281938,95,89,72,41,23,0.48936170212765956,227
ADI-47208,16,6,6,28,0.125,8,1,1,10,130,0.5803571428571429,114,106,95,35,33,0.75,224
ADI-47214,10,7,9,26,0.11353711790393013,3,2,3,8,123,0.537117903930131,111,101,95,28,27,0.5510204081632653,229
ADI-47217,15,5,4,24,0.1038961038961039,8,0,1,9,128,0.5541125541125541,112,105,92,36,31,0.5961538461538461,231
ADI-47220,10,7,10,27,0.11842105263157894,3,2,4,9,126,0.5526315789473685,106,97,82,44,31,0.6458333333333334,228
ADI-47221,12,5,10,27,0.10931174089068826,5,1,3,9,135,0.5465587044534413,112,105,86,49,40,0.5970149253731343,247
ADI-47222,12,6,7,25,0.1072961373390558,6,1,1,8,129,0.5536480686695279,111,103,90,39,35,0.660377358490566,233
ADI-47226,13,5,9,27,0.11790393013100436,6,1,2,9,135,0.5895196506550219,116,109,93,42,37,0.7551020408163265,229
ADI-47229,13,5,8,26,0.11063829787234042,6,0,1,7,123,0.5234042553191489,107,99,85,38,30,0.5454545454545454,235
ADI-47231,13,5,6,24,0.10344827586206896,6,1,3,10,119,0.5129310344827587,103,97,84,35,32,0.6037735849056604,232
ADI-47232,13,6,8,27,0.1115702479338843,4,2,3,9,127,0.5247933884297521,111,102,89,38,35,0.5645161290322581,242
ADI-47235,21,5,3,29,0.12083333333333333,13,0,0,13,137,0.5708333333333333,124,117,108,29,39,0.639344262295082,240
ADI-47237,13,5,6,24,0.10084033613445378,5,0,2,7,125,0.5252100840336135,110,104,90,35,30,0.5084745762711864,238
ADI-47239,17,6,10,33,0.13692946058091288,8,2,4,14,138,0.5726141078838174,117,108,92,46,44,0.7213114754098361,241
ADI-47243,11,7,8,26,0.11206896551724138,3,3,2,8,129,0.5560344827586207,109,100,85,44,34,0.6538461538461539,232
ADI-47246,10,5,9,24,0.1085972850678733,3,0,2,5,122,0.5520361990950227,100,94,75,47,24,0.5714285714285714,221
ADI-47248,12,7,9,28,0.1222707423580786,3,3,3,9,123,0.537117903930131,106,96,85,38,31,0.6326530612244898,229
ADI-47251,13,5,8,26,0.11255411255411256,5,1,3,9,124,0.5367965367965368,107,99,84,40,32,0.6274509803921569,231
ADI-47253,13,5,12,30,0.13157894736842105,6,1,4,11,125,0.5482456140350878,110,102,91,34,32,0.6666666666666666,228
ADI-47255,14,6,7,27,0.1125,6,2,2,10,136,0.5666666666666667,122,112,103,33,36,0.6,240
ADI-47256,16,6,6,28,0.11618257261410789,8,1,2,11,137,0.5684647302904564,121,112,101,36,38,0.6129032258064516,241
ADI-47257,15,6,3,24,0.10526315789473684,7,1,0,8,128,0.5614035087719298,116,107,101,27,34,0.6938775510204082,228
ADI-47261,11,7,9,27,0.11946902654867257,4,2,4,10,119,0.5265486725663717,101,92,79,40,28,0.6086956521739131,226
ADI-47263,17,7,6,30,0.13157894736842105,8,2,2,12,128,0.5614035087719298,113,102,94,34,28,0.5833333333333334,228
ADI-47264,21,5,6,32,0.1350210970464135,12,1,3,16,132,0.5569620253164557,114,107,91,41,37,0.6379310344827587,237
ADI-47278,11,7,6,24,0.10619469026548672,4,2,1,7,126,0.5575221238938053,110,96,85,41,28,0.6086956521739131,226
ADI-47279,15,5,5,25,0.10964912280701754,7,1,2,10,123,0.5394736842105263,109,100,89,34,32,0.6530612244897959,228
ADI-47281,14,6,5,25,0.10869565217391304,6,2,2,10,127,0.5521739130434783,112,100,89,38,31,0.6078431372549019,230
ADI-47282,10,6,10,26,0.11304347826086956,2,2,5,9,124,0.5391304347826087,103,93,76,48,30,0.6,230
ADI-47286,10,5,11,26,0.11255411255411256,3,1,4,8,133,0.5757575757575758,114,105,89,44,33,0.6470588235294118,231
ADI-47287,12,6,9,27,0.11538461538461539,3,2,4,9,129,0.5512820512820513,112,102,88,41,34,0.6296296296296297,234
ADI-47290,12,5,3,20,0.08583690987124463,4,1,1,6,125,0.5364806866952789,111,101,90,35,32,0.5925925925925926,233
ADI-47291,13,5,8,26,0.1111111111111111,5,0,3,8,126,0.5384615384615384,110,99,86,40,30,0.5555555555555556,234
ADI-47293,11,5,8,24,0.10434782608695652,4,0,3,7,118,0.5130434782608696,102,91,79,39,23,0.46,230
ADI-47294,13,6,8,27,0.11790393013100436,5,2,2,9,123,0.537117903930131,107,96,84,39,30,0.6122448979591837,229
ADI-47295,11,7,4,22,0.09523809523809523,4,2,1,7,124,0.5367965367965368,111,99,92,32,31,0.5961538461538461,231
ADI-47296,15,5,6,26,0.1145374449339207,6,0,1,7,129,0.5682819383259912,116,104,96,33,31,0.6595744680851063,227
ADI-47298,10,5,10,25,0.10964912280701754,2,1,4,7,122,0.5350877192982456,107,98,88,34,27,0.5625,228
ADI-47299,10,5,9,24,0.10619469026548672,4,1,3,8,121,0.5353982300884956,102,92,75,46,29,0.6304347826086957,226
ADI-47303,13,6,8,27,0.11894273127753303,4,2,3,9,124,0.5462555066079295,105,94,80,44,31,0.6595744680851063,227
ADI-47304,11,6,6,23,0.09913793103448276,3,1,2,6,130,0.5603448275862069,114,101,89,41,31,0.5961538461538461,232
ADI-47305,15,4,9,28,0.11914893617021277,8,0,4,12,131,0.5574468085106383,114,104,89,42,34,0.6181818181818182,235
ADI-47306,12,6,10,28,0.1222707423580786,5,2,3,10,127,0.5545851528384279,111,101,90,37,34,0.6938775510204082,229
ADI-47307,13,7,5,25,0.10775862068965517,5,2,1,8,131,0.5646551724137931,113,101,90,41,33,0.6346153846153846,232
ADI-47310,13,6,8,27,0.11946902654867257,5,1,2,8,126,0.5575221238938053,113,102,93,33,29,0.6304347826086957,226
ADI-47311,13,4,5,22,0.09691629955947137,6,0,2,8,123,0.5418502202643172,112,101,91,32,31,0.6458333333333334,227
ADI-47313,11,7,7,25,0.11013215859030837,4,2,0,6,125,0.5506607929515418,113,101,94,31,29,0.6170212765957447,227
