id,plain_kfold_k4,shuffled_kfold_k4_s42,strat_sturges_tm_k4_s42,strat_sturges_hic_k4_s42,strat_q8_tm_k4_s42,strat_q8_hic_k4_s42,strat_hybrid_hic_k4_s42,strat_joint_cart4x4_k4_s42,group_only_k4_s42,stratgroup_hic_hybrid_k4_s42,stratgroup_joint_k4_s42,opt_joint_group_k4_s42,opt_joint_group_k4_s2026,plain_kfold_k5,shuffled_kfold_k5_s42,strat_sturges_tm_k5_s42,strat_sturges_hic_k5_s42,strat_q8_tm_k5_s42,strat_q8_hic_k5_s42,strat_hybrid_hic_k5_s42,strat_joint_cart4x4_k5_s42,group_only_k5_s42,stratgroup_hic_hybrid_k5_s42,stratgroup_joint_k5_s42,opt_joint_group_k5_s42,opt_joint_group_k5_s2026,plain_kfold_k6,shuffled_kfold_k6_s42,strat_sturges_tm_k6_s42,strat_sturges_hic_k6_s42,strat_q8_tm_k6_s42,strat_q8_hic_k6_s42,strat_hybrid_hic_k6_s42,strat_joint_cart4x4_k6_s42,group_only_k6_s42,stratgroup_hic_hybrid_k6_s42,stratgroup_joint_k6_s42,opt_joint_group_k6_s42,opt_joint_group_k6_s2026,opt_joint_group_k5_s7,shuffled_kfold_k5_s7,opt_joint_group_k5_s123,shuffled_kfold_k5_s123
ADI-47249,3,2,3,0,2,0,3,3,3,1,3,0,2,4,2,4,1,3,1,4,4,1,3,1,2,2,5,3,4,1,4,1,5,4,5,3,0,5,3,2,4,2,1
ADI-47250,3,1,2,2,3,1,1,3,1,3,1,2,3,4,1,3,3,4,2,1,4,1,3,2,3,3,5,2,3,3,4,2,2,5,5,4,0,1,1,3,1,3,0
ADI-47252,3,0,0,2,1,3,2,2,1,3,2,3,2,4,0,1,3,1,4,3,3,2,4,0,4,0,5,1,1,3,1,5,4,3,1,4,1,5,2,3,0,2,4
ADI-47254,3,3,0,1,1,2,3,0,1,3,0,3,2,4,3,1,2,1,2,4,0,0,4,0,4,3,5,4,1,2,2,3,5,0,5,0,4,2,2,1,4,4,0
ADI-47258,3,1,1,3,2,0,0,2,3,1,2,2,2,4,1,2,4,2,0,0,2,2,2,2,0,4,5,1,2,4,3,0,0,2,3,5,0,0,5,0,0,4,2
ADI-47259,3,1,2,0,0,3,2,1,0,2,3,2,3,4,1,2,0,0,4,3,1,1,1,1,2,2,5,2,3,0,0,5,4,2,0,3,4,4,4,0,3,0,2
ADI-47260,3,3,3,3,3,2,1,0,2,0,1,0,2,4,3,4,4,4,3,2,0,3,0,2,2,3,5,4,3,5,5,4,2,0,2,3,3,3,5,4,4,1,0
ADI-47262,3,0,1,3,2,1,1,0,3,1,3,3,3,4,0,2,4,2,1,2,0,4,4,3,0,4,5,0,2,5,2,2,3,0,5,4,3,1,0,1,1,3,1
ADI-47265,3,0,0,0,2,2,1,0,1,3,1,3,0,4,0,0,1,3,2,1,0,3,1,1,4,2,5,0,1,1,4,3,2,0,3,1,5,4,1,3,0,3,0
ADI-47267,3,1,2,2,0,2,0,2,2,3,2,0,0,4,1,3,2,0,3,0,3,1,0,4,4,0,5,1,4,3,0,4,0,4,5,2,2,5,2,4,2,3,1
ADI-47280,3,2,0,1,2,1,1,3,2,2,1,2,3,4,3,0,1,2,2,2,4,4,3,2,0,2,5,4,0,2,3,2,2,5,2,3,3,3,1,0,1,0,1
ADI-47283,3,2,1,0,1,2,2,0,0,1,3,3,0,4,3,2,0,1,3,2,1,2,1,3,2,4,5,4,2,0,1,3,3,1,0,1,2,0,2,1,1,0,0
ADI-47284,3,3,0,2,1,3,3,3,2,0,1,2,1,4,4,0,3,1,4,3,4,1,2,1,4,3,5,4,1,4,2,5,4,5,4,3,2,4,2,0,1,2,2
ADI-47285,3,2,0,0,3,1,0,0,0,0,2,2,3,4,3,0,1,4,1,1,0,3,1,2,4,0,5,3,4,1,5,1,1,1,4,5,0,4,5,4,0,1,4
ADI-47288,3,2,0,1,1,2,1,2,2,0,1,2,2,4,2,0,2,2,3,2,2,3,0,3,2,4,5,3,1,2,2,4,2,3,0,4,3,5,0,4,0,0,1
ADI-47289,3,0,3,3,3,1,2,3,2,1,1,2,1,4,1,4,4,4,1,3,4,4,1,1,3,1,5,1,5,5,5,1,4,5,4,1,5,0,1,1,4,4,2
ADI-47292,3,3,3,2,2,1,1,2,2,2,0,1,2,4,4,3,3,3,2,1,4,2,0,3,2,0,5,5,4,3,3,2,2,4,2,4,1,3,5,1,3,1,4
ADI-47297,3,0,1,0,1,3,2,0,0,1,1,0,0,4,0,1,1,1,4,3,0,1,3,2,3,3,5,0,1,1,1,5,4,0,4,3,3,4,3,3,0,4,1
ADI-47300,3,1,1,2,0,1,2,0,0,1,1,1,3,4,2,2,2,0,1,2,0,2,1,2,3,3,5,2,2,3,0,2,3,0,2,2,1,2,0,2,4,1,3
ADI-47301,3,2,0,0,2,1,2,0,2,1,0,2,0,4,3,0,0,2,1,2,0,0,2,4,2,0,5,3,0,0,3,1,3,0,4,3,2,1,5,3,3,0,3
ADI-47302,3,3,1,2,0,0,2,2,1,1,2,3,0,4,4,2,2,0,1,3,2,4,3,0,0,0,5,5,2,3,0,1,3,3,3,5,2,5,3,4,3,3,4
ADI-47308,3,2,1,2,0,0,2,1,1,0,1,3,0,4,2,1,3,0,0,2,1,1,2,0,1,1,5,3,1,4,0,0,3,2,1,2,3,1,4,0,3,3,1
ADI-47309,3,0,0,1,2,2,2,3,0,3,2,1,3,4,0,0,2,3,3,3,3,1,1,0,0,0,5,0,0,2,3,4,3,4,0,1,4,1,1,3,0,3,2
ADI-47312,3,3,1,1,2,2,0,1,3,0,3,2,0,4,4,2,1,3,3,0,2,1,2,3,4,1,5,5,2,1,4,4,1,2,1,1,3,3,2,0,1,0,4
ADI-47316,3,2,2,3,0,0,3,3,0,2,1,0,0,4,2,3,3,0,0,4,4,4,3,2,4,3,5,3,3,4,0,0,5,5,0,2,1,3,2,0,3,0,4
ADI-47317,3,3,3,1,1,0,1,2,1,2,3,1,3,4,4,4,2,1,0,2,3,3,0,2,2,4,5,5,5,2,1,0,2,3,1,2,5,4,4,4,0,1,2
